income,saving,wageinc,asset
22288.787771215888,0.0,16716.590828411914,4722.131861748475
22288.787771215888,0.0,16716.590828411914,4722.131861748475
22288.787771215888,0.0,16716.590828411914,4722.131861748475
22288.787771215888,0.0,17831.030216972707,4722.131861748475
22288.787771215888,0.0,16716.590828411914,4722.131861748475
24517.666548337475,1098.1702004066221,24517.666548337475,8565.727563171653
24517.666548337475,1098.1702004066221,24517.666548337475,8675.544583212315
24517.666548337475,1098.1702004066221,24517.666548337475,8565.727563171653
24517.666548337475,1098.1702004066221,24517.666548337475,8675.544583212315
24517.666548337475,1098.1702004066221,24517.666548337475,8675.544583212315
57950.84820516131,0.0,57950.84820516131,32505.837932036015
57950.84820516131,0.0,57950.84820516131,32396.020911995354
57950.84820516131,0.0,57950.84820516131,32505.837932036015
57950.84820516131,0.0,57950.84820516131,32505.837932036015
57950.84820516131,0.0,57950.84820516131,32505.837932036015
166051.46889555836,1317.8042404879466,133732.7266272953,2650927.9552715654
166051.46889555836,1317.8042404879466,133732.7266272953,2714402.1928550685
166051.46889555836,1317.8042404879466,133732.7266272953,2692548.6058669765
166051.46889555836,1317.8042404879466,133732.7266272953,2766235.8263142607
166051.46889555836,1317.8042404879466,133732.7266272953,2846292.4339239034
109215.06007895785,0.0,109215.06007895785,749610.9787975603
118130.57518744418,0.0,119245.01457600499,748622.6256171943
119245.01457600499,0.0,119245.01457600499,749830.6128376416
119245.01457600499,0.0,119245.01457600499,749720.7958176009
101413.98435903227,0.0,101413.98435903227,749610.9787975603
35662.060433945415,0.0,35662.060433945415,64023.32268370607
53493.09065091812,0.0,53493.09065091812,67757.10136508859
54607.53003947892,0.0,54607.53003947892,60564.08655242521
35662.060433945415,0.0,34547.62104538462,65725.48649433634
35662.060433945415,0.0,34547.62104538462,61058.26314260819
172738.1052269231,1537.438280569271,172738.1052269231,801224.9782166715
172738.1052269231,1537.438280569271,172738.1052269231,800126.8080162649
172738.1052269231,1537.438280569271,172738.1052269231,802323.1484170781
173852.54461548393,1537.438280569271,172738.1052269231,802323.1484170781
172738.1052269231,1537.438280569271,172738.1052269231,800126.8080162649
57950.84820516131,1526.4565785652048,52378.651262357336,355905.98024978215
57950.84820516131,1537.438280569271,52378.651262357336,355916.96195178624
57950.84820516131,1526.4565785652048,51264.21187379654,355905.98024978215
57950.84820516131,1526.4565785652048,52378.651262357336,355905.98024978215
57950.84820516131,1537.438280569271,52378.651262357336,355916.96195178624
30089.863491141445,340.43276212605286,30089.863491141445,10729.122857972698
30089.863491141445,351.4144641301191,30089.863491141445,10740.104559976764
30089.863491141445,340.43276212605286,30089.863491141445,10729.122857972698
30089.863491141445,351.4144641301191,30089.863491141445,10740.104559976764
30089.863491141445,351.4144641301191,30089.863491141445,10740.104559976764
46806.454319553355,0.0,46806.454319553355,4173.046761545164
46806.454319553355,0.0,46806.454319553355,4173.046761545164
46806.454319553355,0.0,46806.454319553355,4173.046761545164
46806.454319553355,0.0,46806.454319553355,4173.046761545164
46806.454319553355,0.0,46806.454319553355,4173.046761545164
139304.9235700993,0.0,0.0,652422.9160615742
133732.7266272953,0.0,0.0,560725.7043276213
139304.9235700993,0.0,0.0,439268.08016264887
139304.9235700993,0.0,0.0,708715.1205344177
119245.01457600499,0.0,0.0,401381.2082486204
115901.69641032262,9103.830961370897,89155.15108486355,917729.85477781
115901.69641032262,8983.032239326169,89155.15108486355,917609.0560557654
115901.69641032262,8895.17862329364,89155.15108486355,917521.2024397327
115901.69641032262,9048.922451350567,89155.15108486355,917674.9462677897
115901.69641032262,9004.995643334301,89155.15108486355,917631.0194597734
53493.09065091812,0.0,53493.09065091812,7961.7339529480105
53493.09065091812,0.0,53493.09065091812,7851.916932907348
53493.09065091812,0.0,53493.09065091812,7851.916932907348
53493.09065091812,0.0,53493.09065091812,7851.916932907348
53493.09065091812,0.0,53493.09065091812,7851.916932907348
101413.98435903227,2965.05954109788,100299.54497047148,187347.83618936973
101413.98435903227,2965.05954109788,100299.54497047148,187457.6532094104
101413.98435903227,2965.05954109788,100299.54497047148,187347.83618936973
100299.54497047148,2965.05954109788,100299.54497047148,187457.6532094104
101413.98435903227,2965.05954109788,100299.54497047148,187347.83618936973
1426482.4173578168,0.0,0.0,27821483.125181526
1437626.8112434244,0.0,0.0,40845781.70200407
1437626.8112434244,0.0,0.0,27580983.851292476
1437626.8112434244,0.0,0.0,27798421.550972987
1426482.4173578168,0.0,0.0,27612830.78710427
1582503.9317563279,0.0,0.0,11603705.605576532
1248172.1151880894,0.0,0.0,20534574.760383386
1237027.7213024818,0.0,0.0,10783701.916932907
1415338.0234722088,0.0,0.0,11625339.558524543
1526781.9623282885,0.0,0.0,28440521.66715074
35662.060433945415,0.0,0.0,56336.131280859714
35662.060433945415,0.0,0.0,56336.131280859714
35662.060433945415,0.0,0.0,56336.131280859714
35662.060433945415,0.0,0.0,56336.131280859714
35662.060433945415,0.0,0.0,56336.131280859714
250748.86242617873,166921.87046180657,56836.40881660051,9952057.624164972
250748.86242617873,0.0,57950.84820516131,9953814.696485624
250748.86242617873,166921.87046180657,57950.84820516131,9955791.402846355
250748.86242617873,166921.87046180657,56836.40881660051,9953858.62329364
250748.86242617873,166921.87046180657,57950.84820516131,9953814.696485624
647489.2847538214,0.0,624086.0575940447,5365659.599186756
647489.2847538214,0.0,624086.0575940447,5366757.769387162
647489.2847538214,0.0,624086.0575940447,5365659.599186756
647489.2847538214,0.0,624086.0575940447,5366757.769387162
647489.2847538214,0.0,624086.0575940447,5366757.769387162
14487.712051290328,0.0,0.0,24379.37844902701
13373.27266272953,0.0,0.0,23391.02526866105
14487.712051290328,0.0,0.0,41950.10165553296
14487.712051290328,0.0,0.0,9663.897763578274
13373.27266272953,0.0,0.0,60618.995062445545
55721.96942803971,0.0,45692.01493099256,181933.85710136508
70209.68147933004,0.0,42348.69676531018,181769.13157130408
64637.48453652608,0.0,57950.84820516131,181878.94859134476
65751.92392508686,0.0,60179.72698228289,181725.20476328782
75781.878422134,0.0,65751.92392508686,181791.09497531224
122588.33274168738,10981.702004066221,122588.33274168738,460352.948010456
122588.33274168738,10981.702004066221,122588.33274168738,460243.13099041535
122588.33274168738,10981.702004066221,122588.33274168738,461341.301190822
122588.33274168738,10981.702004066221,122588.33274168738,459144.9607900087
122588.33274168738,10981.702004066221,122588.33274168738,459144.9607900087
147105.99929002486,0.0,147105.99929002486,1370406.5930874238
145991.55990146406,0.0,147105.99929002486,1370406.5930874238
147105.99929002486,0.0,147105.99929002486,1370296.7760673831
147105.99929002486,0.0,148220.43867858563,1370406.5930874238
145991.55990146406,0.0,147105.99929002486,1370406.5930874238
23403.227159776678,395.341272146384,20059.908994094298,48110.83647981412
24517.666548337475,389.85042114435083,20059.908994094298,48105.34562881208
24517.666548337475,389.85042114435083,20059.908994094298,48105.34562881208
25632.10593689827,395.341272146384,20059.908994094298,48110.83647981412
25632.10593689827,395.341272146384,20059.908994094298,48001.01945977345
0.0,21.963404008132443,0.0,9136.776067383096
0.0,21.963404008132443,0.0,6951.417368573918
0.0,21.963404008132443,0.0,6720.801626488527
0.0,32.945106012198664,0.0,7939.770548939878
0.0,32.945106012198664,0.0,8379.038629102526
8547750.110261293,220732.21028173104,95841.78741622831,117465775.48649433
9160691.77396973,197670.63607319197,84697.39353062036,116876936.6250363
9327857.682253849,237204.76328783037,82468.51475349878,122689661.3128086
10029954.497047149,218535.8698809178,83582.95414205958,126806262.12605286
8703771.624659803,228419.4016845774,85811.83291918118,118591619.5759512
167165.90828411916,0.0,167165.90828411916,477704.03717688064
167165.90828411916,0.0,167165.90828411916,477704.03717688064
167165.90828411916,0.0,167165.90828411916,476605.866976474
167165.90828411916,0.0,167165.90828411916,477704.03717688064
167165.90828411916,0.0,167165.90828411916,477704.03717688064
15602.151439851119,768.7191402846355,0.0,162199.7386000581
15602.151439851119,768.7191402846355,0.0,162199.7386000581
16716.590828411914,768.7191402846355,0.0,162199.7386000581
16716.590828411914,768.7191402846355,0.0,162199.7386000581
15602.151439851119,768.7191402846355,0.0,162199.7386000581
100299.54497047148,10981.702004066221,84697.39353062036,444484.3886145803
117016.1357988834,42828.63781585827,102528.42374759309,423838.7888469358
123702.77213024817,14276.212605286088,114787.2570217618,425815.49520766776
123702.77213024817,14276.212605286088,95841.78741622831,503236.4943363346
123702.77213024817,43926.808016264884,95841.78741622831,443386.2184141737
1270460.9029593056,0.0,0.0,9819837.932036014
1315038.4785017374,0.0,0.0,16517577.984316003
1872258.1727821345,0.0,0.0,9247691.257624164
1727381.0522692313,0.0,0.0,8610752.541388324
1738525.446154839,0.0,0.0,8204429.567237874
141533.80234722086,14276.212605286088,128160.52968449134,848446.2968341563
141533.80234722086,14276.212605286088,128160.52968449134,848446.2968341563
141533.80234722086,14276.212605286088,128160.52968449134,848446.2968341563
141533.80234722086,14276.212605286088,128160.52968449134,848446.2968341563
141533.80234722086,14276.212605286088,128160.52968449134,848446.2968341563
50149.77248523574,1098.1702004066221,50149.77248523574,6808.6552425210575
50149.77248523574,1098.1702004066221,50149.77248523574,6808.6552425210575
50149.77248523574,1098.1702004066221,50149.77248523574,6808.6552425210575
50149.77248523574,1098.1702004066221,50149.77248523574,6808.6552425210575
50149.77248523574,1098.1702004066221,50149.77248523574,6808.6552425210575
78010.75719925559,0.0,0.0,137820.36015103108
78010.75719925559,0.0,0.0,42279.55271565495
78010.75719925559,0.0,0.0,75224.65872785362
78010.75719925559,0.0,0.0,293760.52860877145
78010.75719925559,0.0,0.0,96089.89253557943
529358.7095663772,0.0,86926.27230774197,4786265.001452222
507069.92179516144,0.0,86926.27230774197,4923536.27650305
502612.1642409182,0.0,86926.27230774197,4685343.160034853
500383.2854637967,0.0,86926.27230774197,5107040.516990996
488124.4521896279,0.0,86926.27230774197,5046531.338948592
312043.02879702236,0.0,278609.8471401986,1145391.519024107
312043.02879702236,0.0,278609.8471401986,1146489.6892245135
312043.02879702236,0.0,278609.8471401986,1145391.519024107
312043.02879702236,0.0,278609.8471401986,1146489.6892245135
312043.02879702236,0.0,278609.8471401986,1145391.519024107
49035.33309667495,0.0,0.0,1768054.0226546617
50149.77248523574,0.0,0.0,1985491.7223351728
