income,saving,wageinc,asset,foodhome,foodaway,fooddelv,rent
22288.78777,0,16716.59083,4722.131862,5710.485042,395.3412721,0,658.9021202
22288.78777,0,16716.59083,4722.131862,5710.485042,395.3412721,0,658.9021202
22288.78777,0,16716.59083,4722.131862,5710.485042,395.3412721,0,658.9021202
22288.78777,0,17831.03022,4722.131862,5710.485042,395.3412721,0,658.9021202
22288.78777,0,16716.59083,4722.131862,5710.485042,395.3412721,0,658.9021202
24517.66655,1098.1702,24517.66655,8565.727563,4568.388034,571.0485042,1142.097008,0
24517.66655,1098.1702,24517.66655,8675.544583,4568.388034,571.0485042,1142.097008,0
24517.66655,1098.1702,24517.66655,8565.727563,4568.388034,1142.097008,1142.097008,0
24517.66655,1098.1702,24517.66655,8675.544583,4568.388034,571.0485042,1142.097008,0
24517.66655,1098.1702,24517.66655,8675.544583,4568.388034,571.0485042,1142.097008,0
57950.84821,0,57950.84821,32505.83793,5710.485042,1142.097008,0,197.6706361
57950.84821,0,57950.84821,32396.02091,5710.485042,1142.097008,0,197.6706361
57950.84821,0,57950.84821,32505.83793,5710.485042,1142.097008,0,197.6706361
57950.84821,0,57950.84821,32505.83793,5710.485042,1142.097008,0,197.6706361
57950.84821,0,57950.84821,32505.83793,5710.485042,1142.097008,0,197.6706361
166051.4689,1317.80424,133732.7266,2650927.955,8565.727563,8565.727563,0,0
166051.4689,1317.80424,133732.7266,2714402.193,8565.727563,8565.727563,0,0
166051.4689,1317.80424,133732.7266,2692548.606,8565.727563,8565.727563,0,0
166051.4689,1317.80424,133732.7266,2766235.826,8565.727563,8565.727563,0,0
166051.4689,1317.80424,133732.7266,2846292.434,8565.727563,8565.727563,0,0
109215.0601,0,109215.0601,749610.9788,3997.339529,3997.339529,0,0
118130.5752,0,119245.0146,748622.6256,3997.339529,3997.339529,0,0
119245.0146,0,119245.0146,749830.6128,4568.388034,3997.339529,0,0
119245.0146,0,119245.0146,749720.7958,4568.388034,4568.388034,0,0
101413.9844,0,101413.9844,749610.9788,4568.388034,3997.339529,0,0
35662.06043,0,35662.06043,64023.32268,3997.339529,5710.485042,2284.194017,0
53493.09065,0,53493.09065,67757.10137,3997.339529,5710.485042,2284.194017,0
54607.53004,0,54607.53004,60564.08655,3997.339529,5710.485042,2284.194017,0
35662.06043,0,34547.62105,65725.48649,3997.339529,5710.485042,2284.194017,0
35662.06043,0,34547.62105,61058.26314,3997.339529,5710.485042,2284.194017,0
172738.1052,1537.438281,172738.1052,801224.9782,7423.630555,2635.608481,1317.80424,0
172738.1052,1537.438281,172738.1052,800126.808,7423.630555,2635.608481,1317.80424,0
172738.1052,1537.438281,172738.1052,802323.1484,7423.630555,2635.608481,1317.80424,0
173852.5446,1537.438281,172738.1052,802323.1484,7423.630555,2635.608481,1317.80424,0
172738.1052,1537.438281,172738.1052,800126.808,7423.630555,2635.608481,1317.80424,0
57950.84821,1526.456579,52378.65126,355905.9802,11420.97008,3294.510601,0,823.6276503
57950.84821,1537.438281,52378.65126,355916.962,11420.97008,3294.510601,0,823.6276503
57950.84821,1526.456579,51264.21187,355905.9802,11420.97008,3294.510601,0,823.6276503
57950.84821,1526.456579,52378.65126,355905.9802,11420.97008,3294.510601,0,823.6276503
57950.84821,1537.438281,52378.65126,355916.962,11420.97008,3294.510601,0,823.6276503
30089.86349,340.4327621,30089.86349,10729.12286,3997.339529,263.5608481,0,582.0302062
30089.86349,351.4144641,30089.86349,10740.10456,3997.339529,263.5608481,0,582.0302062
30089.86349,340.4327621,30089.86349,10729.12286,3997.339529,263.5608481,0,582.0302062
30089.86349,351.4144641,30089.86349,10740.10456,3997.339529,263.5608481,0,582.0302062
30089.86349,351.4144641,30089.86349,10740.10456,3997.339529,263.5608481,0,582.0302062
46806.45432,0,46806.45432,4173.046762,5710.485042,1713.145513,0,582.0302062
46806.45432,0,46806.45432,4173.046762,5710.485042,1713.145513,0,571.0485042
46806.45432,0,46806.45432,4173.046762,5710.485042,1713.145513,0,582.0302062
46806.45432,0,46806.45432,4173.046762,5710.485042,1713.145513,0,582.0302062
46806.45432,0,46806.45432,4173.046762,5710.485042,1713.145513,0,571.0485042
139304.9236,0,0,652422.9161,8565.727563,571.0485042,0,0
133732.7266,0,0,560725.7043,8565.727563,571.0485042,0,0
139304.9236,0,0,439268.0802,8565.727563,571.0485042,0,0
139304.9236,0,0,708715.1205,8565.727563,571.0485042,0,0
119245.0146,0,0,401381.2082,8565.727563,571.0485042,0,0
115901.6964,9103.830961,89155.15108,917729.8548,7379.703747,3426.291025,0,0
115901.6964,8983.032239,89155.15108,917609.0561,7379.703747,3426.291025,0,0
115901.6964,8895.178623,89155.15108,917521.2024,7379.703747,3426.291025,0,0
115901.6964,9048.922451,89155.15108,917674.9463,7379.703747,3426.291025,0,0
115901.6964,9004.995643,89155.15108,917631.0195,7379.703747,3426.291025,0,0
53493.09065,0,53493.09065,7961.733953,7906.825443,1142.097008,263.5608481,878.5361603
53493.09065,0,53493.09065,7851.916933,7906.825443,1142.097008,263.5608481,878.5361603
53493.09065,0,53493.09065,7851.916933,7906.825443,1142.097008,263.5608481,878.5361603
53493.09065,0,53493.09065,7851.916933,7906.825443,1142.097008,263.5608481,878.5361603
53493.09065,0,53493.09065,7851.916933,7906.825443,1142.097008,263.5608481,878.5361603
101413.9844,2965.059541,100299.545,187347.8362,6281.533546,527.1216962,0,0
101413.9844,2965.059541,100299.545,187457.6532,6281.533546,527.1216962,0,0
101413.9844,2965.059541,100299.545,187347.8362,6281.533546,527.1216962,0,0
100299.545,2965.059541,100299.545,187457.6532,6281.533546,527.1216962,0,0
101413.9844,2965.059541,100299.545,187347.8362,6281.533546,527.1216962,0,0
1426482.417,0,0,27821483.13,5710.485042,8565.727563,0,0
1437626.811,0,0,40845781.7,5710.485042,8565.727563,0,0
1437626.811,0,0,27580983.85,5710.485042,8565.727563,0,0
1437626.811,0,0,27798421.55,5710.485042,8565.727563,0,0
1426482.417,0,0,27612830.79,5710.485042,8565.727563,0,0
1582503.932,0,0,11603705.61,22270.89166,1317.80424,0,0
1248172.115,0,0,20534574.76,21699.84316,1581.365089,0,0
1237027.721,0,0,10783701.92,21699.84316,1449.584665,0,0
1415338.023,0,0,11625339.56,21128.79466,1317.80424,0,0
1526781.962,0,0,28440521.67,22841.94017,1449.584665,0,0
35662.06043,0,0,56336.13128,5710.485042,2284.194017,0,0
35662.06043,0,0,56336.13128,5710.485042,1998.669765,0,0
35662.06043,0,0,56336.13128,5710.485042,1998.669765,0,0
35662.06043,0,0,56336.13128,5710.485042,2284.194017,0,0
35662.06043,0,0,56336.13128,5710.485042,1998.669765,0,0
250748.8624,166921.8705,56836.40882,9952057.624,19986.69765,3997.339529,0,0
250748.8624,0,57950.84821,9953814.696,19986.69765,4568.388034,0,0
250748.8624,166921.8705,57950.84821,9955791.403,19986.69765,3997.339529,0,0
250748.8624,166921.8705,56836.40882,9953858.623,19986.69765,3997.339529,0,0
250748.8624,166921.8705,57950.84821,9953814.696,19986.69765,4568.388034,0,0
647489.2848,0,624086.0576,5365659.599,14276.21261,11420.97008,0,0
647489.2848,0,624086.0576,5366757.769,14276.21261,11420.97008,0,0
647489.2848,0,624086.0576,5365659.599,14276.21261,11420.97008,0,0
647489.2848,0,624086.0576,5366757.769,14276.21261,11420.97008,0,0
647489.2848,0,624086.0576,5366757.769,14276.21261,11420.97008,0,0
14487.71205,0,0,24379.37845,1581.365089,0,0,296.5059541
13373.27266,0,0,23391.02527,1581.365089,0,0,296.5059541
14487.71205,0,0,41950.10166,1581.365089,0,0,296.5059541
14487.71205,0,0,9663.897764,1581.365089,0,0,296.5059541
13373.27266,0,0,60618.99506,1581.365089,0,0,296.5059541
55721.96943,0,45692.01493,181933.8571,4568.388034,1142.097008,2284.194017,0
70209.68148,0,42348.69677,181769.1316,4568.388034,1713.145513,2284.194017,0
64637.48454,0,57950.84821,181878.9486,4568.388034,1142.097008,2284.194017,0
65751.92393,0,60179.72698,181725.2048,4568.388034,1142.097008,2284.194017,0
75781.87842,0,65751.92393,181791.095,4568.388034,1142.097008,2284.194017,0
122588.3327,10981.702,122588.3327,460352.948,14276.21261,4568.388034,0,0
122588.3327,10981.702,122588.3327,460243.131,14276.21261,3997.339529,0,0
122588.3327,10981.702,122588.3327,461341.3012,14276.21261,4568.388034,0,0
122588.3327,10981.702,122588.3327,459144.9608,14276.21261,4568.388034,0,0
122588.3327,10981.702,122588.3327,459144.9608,14276.21261,4568.388034,0,0
147105.9993,0,147105.9993,1370406.593,8565.727563,3997.339529,0,0
145991.5599,0,147105.9993,1370406.593,8565.727563,3997.339529,0,0
147105.9993,0,147105.9993,1370296.776,8565.727563,3997.339529,0,0
147105.9993,0,148220.4387,1370406.593,8565.727563,3997.339529,0,0
145991.5599,0,147105.9993,1370406.593,8565.727563,3997.339529,0,0
23403.22716,395.3412721,20059.90899,48110.83648,5710.485042,1142.097008,0,0
24517.66655,389.8504211,20059.90899,48105.34563,5710.485042,1142.097008,0,0
24517.66655,389.8504211,20059.90899,48105.34563,5710.485042,1142.097008,0,0
25632.10594,395.3412721,20059.90899,48110.83648,5710.485042,1142.097008,0,0
25632.10594,395.3412721,20059.90899,48001.01946,5710.485042,1142.097008,0,0
0,21.96340401,0,9136.776067,6281.533546,1142.097008,0,823.6276503
0,21.96340401,0,6951.417369,6281.533546,1142.097008,0,823.6276503
0,21.96340401,0,6720.801626,6281.533546,1142.097008,0,823.6276503
0,32.94510601,0,7939.770549,6281.533546,1713.145513,0,823.6276503
0,32.94510601,0,8379.038629,6281.533546,1713.145513,0,823.6276503
8547750.11,220732.2103,95841.78742,117465775.5,12563.06709,22402.67209,0,0
