
n_households:  100
Initial exploration has been finished!
[2023-05-16 22:10:04.855830] Epoch: 24 / 5000, Frames: 25000, gov_Rewards: 0.646, house_Rewards: -29.362, years:1.000, gov_actor_loss: 1855.878, gov_critic_loss: 1279083008.000, house_actor_loss: 3306.866, house_critic_loss: 4440260096.000
[2023-05-16 22:10:19.245214] Epoch: 25 / 5000, Frames: 26000, gov_Rewards: 0.710, house_Rewards: -34.949, years:1.000, gov_actor_loss: -15824.685, gov_critic_loss: 2198304768.000, house_actor_loss: 6848.244, house_critic_loss: 9174178816.000
[2023-05-16 22:10:33.504065] Epoch: 26 / 5000, Frames: 27000, gov_Rewards: 0.717, house_Rewards: -35.152, years:1.000, gov_actor_loss: -17490.023, gov_critic_loss: 3563623680.000, house_actor_loss: -21580.385, house_critic_loss: 13544962048.000
[2023-05-16 22:10:47.722696] Epoch: 27 / 5000, Frames: 28000, gov_Rewards: 0.712, house_Rewards: -35.421, years:1.000, gov_actor_loss: -967.049, gov_critic_loss: 3078411776.000, house_actor_loss: 1481.562, house_critic_loss: 6863753728.000
[2023-05-16 22:11:01.839627] Epoch: 28 / 5000, Frames: 29000, gov_Rewards: 0.702, house_Rewards: -35.915, years:1.000, gov_actor_loss: -52636.383, gov_critic_loss: 2821821440.000, house_actor_loss: -9648.646, house_critic_loss: 11434346496.000
[2023-05-16 22:11:15.991404] Epoch: 29 / 5000, Frames: 30000, gov_Rewards: 0.742, house_Rewards: -40.907, years:1.000, gov_actor_loss: 61039.438, gov_critic_loss: 1653313408.000, house_actor_loss: 13824.340, house_critic_loss: 6349288960.000
[2023-05-16 22:11:30.212690] Epoch: 30 / 5000, Frames: 31000, gov_Rewards: 0.743, house_Rewards: -41.332, years:1.000, gov_actor_loss: 27320.254, gov_critic_loss: 1738673280.000, house_actor_loss: 16576.170, house_critic_loss: 6727792640.000
[2023-05-16 22:11:44.546838] Epoch: 31 / 5000, Frames: 32000, gov_Rewards: 0.796, house_Rewards: -49.951, years:1.000, gov_actor_loss: -7145.146, gov_critic_loss: 1696845696.000, house_actor_loss: -6027.499, house_critic_loss: 8208808448.000
[2023-05-16 22:11:58.604119] Epoch: 32 / 5000, Frames: 33000, gov_Rewards: 0.813, house_Rewards: -49.151, years:1.000, gov_actor_loss: 29541.977, gov_critic_loss: 3392571648.000, house_actor_loss: -1404.496, house_critic_loss: 11268303872.000
[2023-05-16 22:12:12.695184] Epoch: 33 / 5000, Frames: 34000, gov_Rewards: 0.856, house_Rewards: -58.657, years:1.000, gov_actor_loss: 25640.258, gov_critic_loss: 3306691584.000, house_actor_loss: 12941.223, house_critic_loss: 12990921728.000
[2023-05-16 22:12:26.584940] Epoch: 34 / 5000, Frames: 35000, gov_Rewards: 0.873, house_Rewards: -59.462, years:1.000, gov_actor_loss: -2462.609, gov_critic_loss: 2663128576.000, house_actor_loss: 1807.841, house_critic_loss: 10422606848.000
[2023-05-16 22:12:40.791537] Epoch: 35 / 5000, Frames: 36000, gov_Rewards: 0.961, house_Rewards: -75.222, years:1.000, gov_actor_loss: -22778.160, gov_critic_loss: 1693643776.000, house_actor_loss: 3305.149, house_critic_loss: 7508387328.000
[2023-05-16 22:12:54.920599] Epoch: 36 / 5000, Frames: 37000, gov_Rewards: 0.961, house_Rewards: -75.110, years:1.000, gov_actor_loss: 47295.422, gov_critic_loss: 1904316288.000, house_actor_loss: -7892.374, house_critic_loss: 6333379072.000
[2023-05-16 22:13:09.061837] Epoch: 37 / 5000, Frames: 38000, gov_Rewards: 0.994, house_Rewards: -87.387, years:1.000, gov_actor_loss: -1756.574, gov_critic_loss: 1277895680.000, house_actor_loss: 122395.391, house_critic_loss: 7160515584.000
[2023-05-16 22:13:23.274559] Epoch: 38 / 5000, Frames: 39000, gov_Rewards: 1.009, house_Rewards: -87.800, years:1.000, gov_actor_loss: 55176.531, gov_critic_loss: 2741671424.000, house_actor_loss: 38911.895, house_critic_loss: 10713980928.000
[2023-05-16 22:13:37.504183] Epoch: 39 / 5000, Frames: 40000, gov_Rewards: 1.040, house_Rewards: -92.548, years:1.000, gov_actor_loss: 2.943, gov_critic_loss: 1788023936.000, house_actor_loss: 106843.438, house_critic_loss: 8845672448.000
