
n_households:  10
[2023-06-03 01:11:54.264048] Update: 0 / 2000, Frames: 500, Gov_Rewards: 8.540, House_Rewards: 241.171, years: 178.600, PL: -0.005,VL: 2169.857, Ent: 1.418
[2023-06-03 01:11:57.944310] Update: 1 / 2000, Frames: 1000, Gov_Rewards: 1.573, House_Rewards: 41.912, years: 31.100, PL: -0.012,VL: 2056.920, Ent: 1.417
[2023-06-03 01:12:02.331230] Update: 2 / 2000, Frames: 1500, Gov_Rewards: 3.598, House_Rewards: 97.500, years: 66.800, PL: -0.005,VL: 2085.418, Ent: 1.416
[2023-06-03 01:12:08.178507] Update: 3 / 2000, Frames: 2000, Gov_Rewards: 9.048, House_Rewards: 263.259, years: 210.500, PL: -0.003,VL: 1815.567, Ent: 1.415
[2023-06-03 01:12:13.172413] Update: 4 / 2000, Frames: 2500, Gov_Rewards: 4.219, House_Rewards: 146.220, years: 120.800, PL: -0.002,VL: 1681.404, Ent: 1.415
[2023-06-03 01:12:17.506876] Update: 5 / 2000, Frames: 3000, Gov_Rewards: 5.558, House_Rewards: 146.913, years: 121.000, PL: -0.002,VL: 1734.304, Ent: 1.415
[2023-06-03 01:12:22.116933] Update: 6 / 2000, Frames: 3500, Gov_Rewards: 7.033, House_Rewards: 228.038, years: 150.600, PL: -0.003,VL: 1838.035, Ent: 1.415
[2023-06-03 01:12:27.133629] Update: 7 / 2000, Frames: 4000, Gov_Rewards: 8.379, House_Rewards: 253.998, years: 177.200, PL: -0.003,VL: 1835.060, Ent: 1.415
[2023-06-03 01:12:31.729756] Update: 8 / 2000, Frames: 4500, Gov_Rewards: 6.256, House_Rewards: 171.289, years: 140.600, PL: -0.007,VL: 1629.836, Ent: 1.415
[2023-06-03 01:12:36.190751] Update: 9 / 2000, Frames: 5000, Gov_Rewards: 6.020, House_Rewards: 142.793, years: 121.100, PL: 0.002,VL: 1909.135, Ent: 1.415
[2023-06-03 01:12:41.227541] Update: 10 / 2000, Frames: 5500, Gov_Rewards: 7.466, House_Rewards: 231.009, years: 180.500, PL: -0.009,VL: 2323.030, Ent: 1.415
[2023-06-03 01:12:46.030723] Update: 11 / 2000, Frames: 6000, Gov_Rewards: 7.660, House_Rewards: 244.398, years: 150.500, PL: 0.004,VL: 1813.826, Ent: 1.414
[2023-06-03 01:12:50.514091] Update: 12 / 2000, Frames: 6500, Gov_Rewards: 4.221, House_Rewards: 147.815, years: 90.300, PL: -0.008,VL: 2337.208, Ent: 1.413
[2023-06-03 01:12:54.592824] Update: 13 / 2000, Frames: 7000, Gov_Rewards: 5.548, House_Rewards: 187.044, years: 120.700, PL: -0.001,VL: 2091.953, Ent: 1.413
[2023-06-03 01:12:59.776025] Update: 14 / 2000, Frames: 7500, Gov_Rewards: 7.818, House_Rewards: 263.844, years: 180.400, PL: -0.005,VL: 2070.147, Ent: 1.413
[2023-06-03 01:13:04.432124] Update: 15 / 2000, Frames: 8000, Gov_Rewards: 5.284, House_Rewards: 150.679, years: 120.700, PL: -0.005,VL: 1893.313, Ent: 1.412
[2023-06-03 01:13:09.469958] Update: 16 / 2000, Frames: 8500, Gov_Rewards: 4.247, House_Rewards: 148.887, years: 90.900, PL: -0.004,VL: 1815.408, Ent: 1.412
[2023-06-03 01:13:20.041942] Update: 17 / 2000, Frames: 9000, Gov_Rewards: 7.724, House_Rewards: 232.932, years: 180.600, PL: -0.007,VL: 1666.098, Ent: 1.413
[2023-06-03 01:13:29.605458] Update: 18 / 2000, Frames: 9500, Gov_Rewards: 7.472, House_Rewards: 196.942, years: 150.600, PL: -0.006,VL: 2193.932, Ent: 1.413
[2023-06-03 01:13:39.300906] Update: 19 / 2000, Frames: 10000, Gov_Rewards: 6.301, House_Rewards: 193.940, years: 137.300, PL: 0.009,VL: 1766.768, Ent: 1.414
[2023-06-03 01:13:48.866865] Update: 20 / 2000, Frames: 10500, Gov_Rewards: 6.538, House_Rewards: 201.334, years: 150.700, PL: -0.004,VL: 1632.256, Ent: 1.412
[2023-06-03 01:13:59.053201] Update: 21 / 2000, Frames: 11000, Gov_Rewards: 8.037, House_Rewards: 254.375, years: 165.900, PL: -0.006,VL: 1741.169, Ent: 1.410
[2023-06-03 01:14:08.480335] Update: 22 / 2000, Frames: 11500, Gov_Rewards: 6.493, House_Rewards: 204.012, years: 120.700, PL: -0.001,VL: 1664.554, Ent: 1.410
[2023-06-03 01:14:17.916725] Update: 23 / 2000, Frames: 12000, Gov_Rewards: 5.585, House_Rewards: 186.130, years: 120.600, PL: -0.002,VL: 1667.831, Ent: 1.409
[2023-06-03 01:14:28.018684] Update: 24 / 2000, Frames: 12500, Gov_Rewards: 6.744, House_Rewards: 223.717, years: 150.700, PL: -0.005,VL: 1982.595, Ent: 1.409
[2023-06-03 01:14:38.261412] Update: 25 / 2000, Frames: 13000, Gov_Rewards: 8.365, House_Rewards: 253.359, years: 180.400, PL: -0.010,VL: 1551.356, Ent: 1.409
[2023-06-03 01:14:46.864103] Update: 26 / 2000, Frames: 13500, Gov_Rewards: 5.261, House_Rewards: 170.907, years: 120.800, PL: -0.007,VL: 2017.697, Ent: 1.409
[2023-06-03 01:14:57.853883] Update: 27 / 2000, Frames: 14000, Gov_Rewards: 7.463, House_Rewards: 261.098, years: 180.400, PL: -0.003,VL: 1671.857, Ent: 1.408
[2023-06-03 01:15:05.528716] Update: 28 / 2000, Frames: 14500, Gov_Rewards: 2.478, House_Rewards: 84.662, years: 61.300, PL: -0.009,VL: 1969.583, Ent: 1.409
[2023-06-03 01:15:12.597390] Update: 29 / 2000, Frames: 15000, Gov_Rewards: 2.716, House_Rewards: 86.668, years: 61.000, PL: -0.003,VL: 1752.041, Ent: 1.407
[2023-06-03 01:15:23.570571] Update: 30 / 2000, Frames: 15500, Gov_Rewards: 9.989, House_Rewards: 359.784, years: 240.300, PL: -0.009,VL: 1691.095, Ent: 1.407
[2023-06-03 01:15:30.217045] Update: 31 / 2000, Frames: 16000, Gov_Rewards: 1.163, House_Rewards: 44.418, years: 31.300, PL: -0.005,VL: 1758.963, Ent: 1.407
[2023-06-03 01:15:38.992080] Update: 32 / 2000, Frames: 16500, Gov_Rewards: 5.512, House_Rewards: 206.399, years: 129.100, PL: -0.001,VL: 1679.221, Ent: 1.406
[2023-06-03 01:15:48.501720] Update: 33 / 2000, Frames: 17000, Gov_Rewards: 7.981, House_Rewards: 205.526, years: 150.600, PL: -0.006,VL: 1624.654, Ent: 1.405
[2023-06-03 01:15:58.794692] Update: 34 / 2000, Frames: 17500, Gov_Rewards: 5.919, House_Rewards: 198.880, years: 150.600, PL: -0.003,VL: 1485.756, Ent: 1.405
[2023-06-03 01:16:07.196057] Update: 35 / 2000, Frames: 18000, Gov_Rewards: 7.661, House_Rewards: 170.677, years: 120.700, PL: -0.005,VL: 1643.927, Ent: 1.404
[2023-06-03 01:16:16.428120] Update: 36 / 2000, Frames: 18500, Gov_Rewards: 5.227, House_Rewards: 163.521, years: 120.600, PL: 0.001,VL: 1639.550, Ent: 1.404
[2023-06-03 01:16:25.596343] Update: 37 / 2000, Frames: 19000, Gov_Rewards: 5.080, House_Rewards: 164.059, years: 110.800, PL: -0.004,VL: 1700.186, Ent: 1.402
[2023-06-03 01:16:33.508101] Update: 38 / 2000, Frames: 19500, Gov_Rewards: 3.642, House_Rewards: 116.948, years: 90.800, PL: -0.007,VL: 2075.128, Ent: 1.402
[2023-06-03 01:16:41.123648] Update: 39 / 2000, Frames: 20000, Gov_Rewards: 5.242, House_Rewards: 145.243, years: 118.300, PL: -0.005,VL: 1841.895, Ent: 1.402
[2023-06-03 01:16:49.053752] Update: 40 / 2000, Frames: 20500, Gov_Rewards: 3.897, House_Rewards: 120.972, years: 90.900, PL: -0.006,VL: 1748.696, Ent: 1.402
[2023-06-03 01:16:58.547400] Update: 41 / 2000, Frames: 21000, Gov_Rewards: 5.741, House_Rewards: 179.759, years: 120.800, PL: -0.003,VL: 1727.203, Ent: 1.402
[2023-06-03 01:17:10.477964] Update: 42 / 2000, Frames: 21500, Gov_Rewards: 10.006, House_Rewards: 293.972, years: 210.400, PL: -0.002,VL: 1380.289, Ent: 1.402
[2023-06-03 01:17:18.593846] Update: 43 / 2000, Frames: 22000, Gov_Rewards: 5.671, House_Rewards: 153.770, years: 120.600, PL: -0.005,VL: 1693.786, Ent: 1.401
[2023-06-03 01:17:27.908331] Update: 44 / 2000, Frames: 22500, Gov_Rewards: 6.559, House_Rewards: 171.853, years: 150.500, PL: -0.002,VL: 1991.995, Ent: 1.403
[2023-06-03 01:17:36.037663] Update: 45 / 2000, Frames: 23000, Gov_Rewards: 5.293, House_Rewards: 176.298, years: 111.600, PL: 0.002,VL: 1753.262, Ent: 1.402
[2023-06-03 01:17:40.462076] Update: 46 / 2000, Frames: 23500, Gov_Rewards: 0.277, House_Rewards: 0.976, years: 1.300, PL: -0.006,VL: 1710.657, Ent: 1.402
[2023-06-03 01:17:51.322242] Update: 47 / 2000, Frames: 24000, Gov_Rewards: 7.887, House_Rewards: 237.759, years: 180.400, PL: -0.004,VL: 1592.863, Ent: 1.402
[2023-06-03 01:17:59.368877] Update: 48 / 2000, Frames: 24500, Gov_Rewards: 3.393, House_Rewards: 111.225, years: 77.800, PL: -0.003,VL: 1486.492, Ent: 1.402
[2023-06-03 01:18:07.622941] Update: 49 / 2000, Frames: 25000, Gov_Rewards: 5.323, House_Rewards: 126.772, years: 108.100, PL: -0.002,VL: 1905.788, Ent: 1.401
[2023-06-03 01:18:19.500904] Update: 50 / 2000, Frames: 25500, Gov_Rewards: 9.742, House_Rewards: 316.926, years: 210.500, PL: -0.006,VL: 1922.069, Ent: 1.401
[2023-06-03 01:18:29.828494] Update: 51 / 2000, Frames: 26000, Gov_Rewards: 6.016, House_Rewards: 221.627, years: 150.600, PL: -0.002,VL: 1769.014, Ent: 1.400
[2023-06-03 01:18:40.517139] Update: 52 / 2000, Frames: 26500, Gov_Rewards: 9.345, House_Rewards: 210.301, years: 194.300, PL: -0.003,VL: 1830.716, Ent: 1.401
[2023-06-03 01:18:52.655984] Update: 53 / 2000, Frames: 27000, Gov_Rewards: 10.521, House_Rewards: 351.539, years: 240.200, PL: -0.004,VL: 1860.144, Ent: 1.401
[2023-06-03 01:19:00.586583] Update: 54 / 2000, Frames: 27500, Gov_Rewards: 4.856, House_Rewards: 129.977, years: 91.000, PL: -0.003,VL: 1859.135, Ent: 1.400
[2023-06-03 01:19:08.592764] Update: 55 / 2000, Frames: 28000, Gov_Rewards: 4.198, House_Rewards: 152.949, years: 90.800, PL: -0.006,VL: 1768.790, Ent: 1.400
[2023-06-03 01:19:18.299316] Update: 56 / 2000, Frames: 28500, Gov_Rewards: 6.386, House_Rewards: 270.363, years: 150.500, PL: -0.004,VL: 1736.223, Ent: 1.400
[2023-06-03 01:19:28.105519] Update: 57 / 2000, Frames: 29000, Gov_Rewards: 6.735, House_Rewards: 234.325, years: 150.500, PL: -0.004,VL: 1937.146, Ent: 1.399
[2023-06-03 01:19:36.582305] Update: 58 / 2000, Frames: 29500, Gov_Rewards: 3.912, House_Rewards: 120.446, years: 90.700, PL: -0.009,VL: 1855.646, Ent: 1.399
[2023-06-03 01:19:45.290603] Update: 59 / 2000, Frames: 30000, Gov_Rewards: 5.501, House_Rewards: 156.627, years: 120.700, PL: -0.003,VL: 1677.526, Ent: 1.399
[2023-06-03 01:19:55.270907] Update: 60 / 2000, Frames: 30500, Gov_Rewards: 7.540, House_Rewards: 250.348, years: 180.400, PL: -0.008,VL: 1378.212, Ent: 1.399
