
n_households:  100
[2023-06-03 01:15:29.251578] Update: 33 / 2000, Frames: 17000, Gov_Rewards: 1.841, House_Rewards: 949.148, years: 150.500, PL: -0.002,VL: 8867.390, Ent: 1.388
[2023-06-03 01:15:39.777741] Update: 34 / 2000, Frames: 17500, Gov_Rewards: 1.621, House_Rewards: 769.860, years: 120.600, PL: -0.003,VL: 8916.141, Ent: 1.387
[2023-06-03 01:15:54.758221] Update: 35 / 2000, Frames: 18000, Gov_Rewards: 2.986, House_Rewards: 1341.293, years: 210.300, PL: -0.001,VL: 8854.256, Ent: 1.387
[2023-06-03 01:16:10.789671] Update: 36 / 2000, Frames: 18500, Gov_Rewards: 2.569, House_Rewards: 1332.659, years: 210.300, PL: -0.003,VL: 8734.232, Ent: 1.385
[2023-06-03 01:16:24.570381] Update: 37 / 2000, Frames: 19000, Gov_Rewards: 2.252, House_Rewards: 1022.528, years: 162.200, PL: -0.003,VL: 9114.615, Ent: 1.384
[2023-06-03 01:16:38.511359] Update: 38 / 2000, Frames: 19500, Gov_Rewards: 2.659, House_Rewards: 1335.822, years: 210.300, PL: -0.002,VL: 8416.253, Ent: 1.383
[2023-06-03 01:16:54.701114] Update: 39 / 2000, Frames: 20000, Gov_Rewards: 3.046, House_Rewards: 1522.085, years: 240.200, PL: -0.002,VL: 8692.430, Ent: 1.383
[2023-06-03 01:17:07.301207] Update: 40 / 2000, Frames: 20500, Gov_Rewards: 2.276, House_Rewards: 1139.387, years: 180.500, PL: -0.002,VL: 8764.237, Ent: 1.381
[2023-06-03 01:17:18.191153] Update: 41 / 2000, Frames: 21000, Gov_Rewards: 1.587, House_Rewards: 771.763, years: 120.600, PL: -0.001,VL: 8795.264, Ent: 1.381
[2023-06-03 01:17:27.372694] Update: 42 / 2000, Frames: 21500, Gov_Rewards: 1.611, House_Rewards: 629.959, years: 96.400, PL: -0.003,VL: 8712.646, Ent: 1.381
[2023-06-03 01:17:37.492167] Update: 43 / 2000, Frames: 22000, Gov_Rewards: 1.556, House_Rewards: 773.472, years: 120.600, PL: -0.003,VL: 9425.880, Ent: 1.380
[2023-06-03 01:17:46.927625] Update: 44 / 2000, Frames: 22500, Gov_Rewards: 1.622, House_Rewards: 612.412, years: 96.400, PL: -0.002,VL: 8595.181, Ent: 1.379
[2023-06-03 01:17:59.277560] Update: 45 / 2000, Frames: 23000, Gov_Rewards: 2.152, House_Rewards: 955.575, years: 150.600, PL: -0.001,VL: 6662.500, Ent: 1.379
[2023-06-03 01:18:13.081590] Update: 46 / 2000, Frames: 23500, Gov_Rewards: 2.664, House_Rewards: 1332.322, years: 210.300, PL: -0.004,VL: 8647.647, Ent: 1.377
[2023-06-03 01:18:27.841055] Update: 47 / 2000, Frames: 24000, Gov_Rewards: 2.568, House_Rewards: 1324.658, years: 210.300, PL: 0.001,VL: 8133.534, Ent: 1.377
[2023-06-03 01:18:39.288940] Update: 48 / 2000, Frames: 24500, Gov_Rewards: 1.944, House_Rewards: 963.815, years: 150.500, PL: -0.001,VL: 7724.030, Ent: 1.377
[2023-06-03 01:18:50.389151] Update: 49 / 2000, Frames: 25000, Gov_Rewards: 2.041, House_Rewards: 886.023, years: 138.900, PL: -0.003,VL: 7567.125, Ent: 1.376
[2023-06-03 01:19:02.319287] Update: 50 / 2000, Frames: 25500, Gov_Rewards: 1.914, House_Rewards: 974.699, years: 150.600, PL: -0.002,VL: 7858.038, Ent: 1.375
[2023-06-03 01:19:10.382988] Update: 51 / 2000, Frames: 26000, Gov_Rewards: 0.957, House_Rewards: 383.980, years: 60.800, PL: -0.003,VL: 8152.710, Ent: 1.375
[2023-06-03 01:19:20.887213] Update: 52 / 2000, Frames: 26500, Gov_Rewards: 1.750, House_Rewards: 766.888, years: 120.400, PL: -0.004,VL: 7524.477, Ent: 1.373
[2023-06-03 01:19:34.580812] Update: 53 / 2000, Frames: 27000, Gov_Rewards: 3.242, House_Rewards: 1476.022, years: 235.500, PL: -0.004,VL: 8649.498, Ent: 1.373
[2023-06-03 01:19:45.867416] Update: 54 / 2000, Frames: 27500, Gov_Rewards: 2.467, House_Rewards: 1003.964, years: 157.600, PL: 0.000,VL: 8197.739, Ent: 1.372
[2023-06-03 01:19:58.594817] Update: 55 / 2000, Frames: 28000, Gov_Rewards: 2.452, House_Rewards: 1160.558, years: 181.600, PL: -0.003,VL: 7350.519, Ent: 1.371
[2023-06-03 01:20:11.120521] Update: 56 / 2000, Frames: 28500, Gov_Rewards: 2.854, House_Rewards: 1119.953, years: 175.100, PL: -0.002,VL: 8029.861, Ent: 1.370
[2023-06-03 01:20:18.207398] Update: 57 / 2000, Frames: 29000, Gov_Rewards: 0.886, House_Rewards: 195.510, years: 31.600, PL: -0.003,VL: 7750.302, Ent: 1.369
[2023-06-03 01:20:27.011228] Update: 58 / 2000, Frames: 29500, Gov_Rewards: 1.261, House_Rewards: 577.802, years: 90.700, PL: -0.003,VL: 7844.107, Ent: 1.369
[2023-06-03 01:20:35.944348] Update: 59 / 2000, Frames: 30000, Gov_Rewards: 1.455, House_Rewards: 581.351, years: 90.800, PL: -0.003,VL: 7677.385, Ent: 1.368
[2023-06-03 01:20:44.983596] Update: 60 / 2000, Frames: 30500, Gov_Rewards: 1.271, House_Rewards: 580.509, years: 90.700, PL: -0.002,VL: 7807.345, Ent: 1.368
[2023-06-03 01:20:57.622941] Update: 61 / 2000, Frames: 31000, Gov_Rewards: 2.243, House_Rewards: 1141.211, years: 180.500, PL: -0.002,VL: 7745.089, Ent: 1.367
[2023-06-03 01:21:09.701873] Update: 62 / 2000, Frames: 31500, Gov_Rewards: 2.200, House_Rewards: 940.076, years: 150.200, PL: -0.003,VL: 8144.891, Ent: 1.366
[2023-06-03 01:21:20.729593] Update: 63 / 2000, Frames: 32000, Gov_Rewards: 1.656, House_Rewards: 762.988, years: 120.600, PL: 0.005,VL: 8220.833, Ent: 1.366
[2023-06-03 01:21:31.596632] Update: 64 / 2000, Frames: 32500, Gov_Rewards: 1.629, House_Rewards: 747.519, years: 120.600, PL: -0.002,VL: 6823.377, Ent: 1.365
[2023-06-03 01:21:43.166742] Update: 65 / 2000, Frames: 33000, Gov_Rewards: 1.867, House_Rewards: 968.268, years: 150.600, PL: -0.002,VL: 8252.350, Ent: 1.364
[2023-06-03 01:21:57.941208] Update: 66 / 2000, Frames: 33500, Gov_Rewards: 2.927, House_Rewards: 1510.953, years: 240.200, PL: -0.001,VL: 7809.533, Ent: 1.363
[2023-06-03 01:22:11.204885] Update: 67 / 2000, Frames: 34000, Gov_Rewards: 2.808, House_Rewards: 1245.865, years: 196.000, PL: -0.002,VL: 7116.056, Ent: 1.362
[2023-06-03 01:22:22.639231] Update: 68 / 2000, Frames: 34500, Gov_Rewards: 1.953, House_Rewards: 944.948, years: 150.500, PL: -0.002,VL: 7489.477, Ent: 1.361
[2023-06-03 01:22:33.033559] Update: 69 / 2000, Frames: 35000, Gov_Rewards: 1.433, House_Rewards: 766.982, years: 120.600, PL: -0.003,VL: 8132.554, Ent: 1.360
[2023-06-03 01:22:45.339000] Update: 70 / 2000, Frames: 35500, Gov_Rewards: 2.295, House_Rewards: 1142.006, years: 180.400, PL: -0.003,VL: 7022.849, Ent: 1.359
[2023-06-03 01:22:58.871464] Update: 71 / 2000, Frames: 36000, Gov_Rewards: 2.410, House_Rewards: 1317.220, years: 210.300, PL: -0.001,VL: 7456.312, Ent: 1.358
[2023-06-03 01:23:08.197826] Update: 72 / 2000, Frames: 36500, Gov_Rewards: 1.159, House_Rewards: 577.917, years: 90.700, PL: -0.003,VL: 7643.173, Ent: 1.357
[2023-06-03 01:23:19.116902] Update: 73 / 2000, Frames: 37000, Gov_Rewards: 2.157, House_Rewards: 851.549, years: 135.100, PL: -0.001,VL: 6984.267, Ent: 1.355
[2023-06-03 01:23:30.429723] Update: 74 / 2000, Frames: 37500, Gov_Rewards: 2.374, House_Rewards: 991.413, years: 158.700, PL: -0.003,VL: 7316.254, Ent: 1.354
[2023-06-03 01:23:40.621334] Update: 75 / 2000, Frames: 38000, Gov_Rewards: 1.546, House_Rewards: 753.982, years: 120.600, PL: -0.003,VL: 7535.858, Ent: 1.353
[2023-06-03 01:23:50.232241] Update: 76 / 2000, Frames: 38500, Gov_Rewards: 1.619, House_Rewards: 607.599, years: 96.400, PL: -0.002,VL: 7099.486, Ent: 1.352
[2023-06-03 01:24:00.073574] Update: 77 / 2000, Frames: 39000, Gov_Rewards: 1.638, House_Rewards: 764.954, years: 120.600, PL: -0.004,VL: 7368.917, Ent: 1.351
[2023-06-03 01:24:14.856962] Update: 78 / 2000, Frames: 39500, Gov_Rewards: 2.977, House_Rewards: 1526.444, years: 240.200, PL: -0.003,VL: 6875.160, Ent: 1.349
[2023-06-03 01:24:26.277994] Update: 79 / 2000, Frames: 40000, Gov_Rewards: 1.972, House_Rewards: 969.331, years: 150.500, PL: -0.001,VL: 7151.543, Ent: 1.348
[2023-06-03 01:24:34.217765] Update: 80 / 2000, Frames: 40500, Gov_Rewards: 0.884, House_Rewards: 378.330, years: 60.800, PL: -0.002,VL: 6873.822, Ent: 1.348
[2023-06-03 01:24:46.466335] Update: 81 / 2000, Frames: 41000, Gov_Rewards: 2.310, House_Rewards: 1145.046, years: 180.400, PL: 0.002,VL: 6479.333, Ent: 1.348
[2023-06-03 01:24:56.784919] Update: 82 / 2000, Frames: 41500, Gov_Rewards: 1.533, House_Rewards: 762.249, years: 120.600, PL: -0.002,VL: 6968.399, Ent: 1.346
