
n_households:  100
[2023-06-04 12:40:47.377830] Update: 33 / 2000, Frames: 17000, Gov_Rewards: 114586.085, House_Rewards: 1145.861, years: 180.400, PL: -0.002,VL: 8617.099, Ent: 1.390
[2023-06-04 12:40:52.078429] Update: 34 / 2000, Frames: 17500, Gov_Rewards: 47682.434, House_Rewards: 476.824, years: 75.700, PL: -0.002,VL: 8945.763, Ent: 1.389
[2023-06-04 12:40:57.777774] Update: 35 / 2000, Frames: 18000, Gov_Rewards: 75630.117, House_Rewards: 756.301, years: 120.600, PL: -0.003,VL: 8202.010, Ent: 1.389
[2023-06-04 12:41:04.356270] Update: 36 / 2000, Frames: 18500, Gov_Rewards: 93622.070, House_Rewards: 936.221, years: 147.300, PL: -0.002,VL: 9889.884, Ent: 1.388
[2023-06-04 12:41:11.551401] Update: 37 / 2000, Frames: 19000, Gov_Rewards: 114141.100, House_Rewards: 1141.411, years: 180.400, PL: -0.002,VL: 8683.708, Ent: 1.388
[2023-06-04 12:41:19.213183] Update: 38 / 2000, Frames: 19500, Gov_Rewards: 114444.072, House_Rewards: 1144.441, years: 180.400, PL: -0.001,VL: 8468.607, Ent: 1.387
[2023-06-04 12:41:23.448218] Update: 39 / 2000, Frames: 20000, Gov_Rewards: 37532.823, House_Rewards: 375.328, years: 60.800, PL: -0.002,VL: 9246.957, Ent: 1.386
[2023-06-04 12:41:29.911689] Update: 40 / 2000, Frames: 20500, Gov_Rewards: 96331.181, House_Rewards: 963.312, years: 150.500, PL: -0.003,VL: 8446.266, Ent: 1.385
[2023-06-04 12:41:36.353808] Update: 41 / 2000, Frames: 21000, Gov_Rewards: 93642.646, House_Rewards: 936.426, years: 150.600, PL: -0.003,VL: 8538.294, Ent: 1.384
[2023-06-04 12:41:42.526038] Update: 42 / 2000, Frames: 21500, Gov_Rewards: 89940.120, House_Rewards: 899.401, years: 139.700, PL: -0.003,VL: 8719.284, Ent: 1.383
[2023-06-04 12:41:49.384603] Update: 43 / 2000, Frames: 22000, Gov_Rewards: 95544.772, House_Rewards: 955.448, years: 150.500, PL: -0.002,VL: 7939.185, Ent: 1.383
[2023-06-04 12:41:56.298029] Update: 44 / 2000, Frames: 22500, Gov_Rewards: 97301.791, House_Rewards: 973.018, years: 150.500, PL: -0.003,VL: 7990.611, Ent: 1.382
[2023-06-04 12:42:02.223123] Update: 45 / 2000, Frames: 23000, Gov_Rewards: 58534.014, House_Rewards: 585.340, years: 90.700, PL: -0.002,VL: 8962.654, Ent: 1.382
[2023-06-04 12:42:07.315185] Update: 46 / 2000, Frames: 23500, Gov_Rewards: 58616.043, House_Rewards: 586.160, years: 90.800, PL: -0.001,VL: 8023.043, Ent: 1.380
[2023-06-04 12:42:13.430039] Update: 47 / 2000, Frames: 24000, Gov_Rewards: 76082.209, House_Rewards: 760.822, years: 120.600, PL: -0.000,VL: 8104.385, Ent: 1.379
[2023-06-04 12:42:22.281953] Update: 48 / 2000, Frames: 24500, Gov_Rewards: 133068.418, House_Rewards: 1330.684, years: 210.300, PL: -0.003,VL: 8300.019, Ent: 1.379
[2023-06-04 12:42:32.190639] Update: 49 / 2000, Frames: 25000, Gov_Rewards: 170656.352, House_Rewards: 1706.564, years: 270.100, PL: -0.002,VL: 7573.988, Ent: 1.378
[2023-06-04 12:42:37.899766] Update: 50 / 2000, Frames: 25500, Gov_Rewards: 77137.264, House_Rewards: 771.373, years: 120.600, PL: -0.003,VL: 7842.294, Ent: 1.377
[2023-06-04 12:42:43.565705] Update: 51 / 2000, Frames: 26000, Gov_Rewards: 77196.150, House_Rewards: 771.961, years: 120.600, PL: -0.002,VL: 7933.338, Ent: 1.376
[2023-06-04 12:42:48.726153] Update: 52 / 2000, Frames: 26500, Gov_Rewards: 60504.426, House_Rewards: 605.044, years: 94.400, PL: -0.004,VL: 7518.715, Ent: 1.375
[2023-06-04 12:42:57.108787] Update: 53 / 2000, Frames: 27000, Gov_Rewards: 116385.202, House_Rewards: 1163.852, years: 180.400, PL: -0.003,VL: 7465.814, Ent: 1.374
[2023-06-04 12:43:02.968863] Update: 54 / 2000, Frames: 27500, Gov_Rewards: 76397.823, House_Rewards: 763.978, years: 120.600, PL: -0.002,VL: 8118.275, Ent: 1.373
[2023-06-04 12:43:10.867382] Update: 55 / 2000, Frames: 28000, Gov_Rewards: 133690.121, House_Rewards: 1336.901, years: 210.300, PL: -0.002,VL: 8080.514, Ent: 1.372
[2023-06-04 12:43:19.735004] Update: 56 / 2000, Frames: 28500, Gov_Rewards: 131383.779, House_Rewards: 1313.838, years: 206.700, PL: -0.001,VL: 6523.699, Ent: 1.371
[2023-06-04 12:43:27.689226] Update: 57 / 2000, Frames: 29000, Gov_Rewards: 114636.923, House_Rewards: 1146.369, years: 180.400, PL: -0.001,VL: 7199.073, Ent: 1.370
[2023-06-04 12:43:35.122398] Update: 58 / 2000, Frames: 29500, Gov_Rewards: 95917.539, House_Rewards: 959.175, years: 149.600, PL: -0.002,VL: 7476.959, Ent: 1.369
[2023-06-04 12:43:44.046364] Update: 59 / 2000, Frames: 30000, Gov_Rewards: 134659.759, House_Rewards: 1346.598, years: 210.300, PL: -0.001,VL: 7539.131, Ent: 1.369
[2023-06-04 12:43:53.301718] Update: 60 / 2000, Frames: 30500, Gov_Rewards: 134616.764, House_Rewards: 1346.168, years: 210.300, PL: -0.003,VL: 7856.031, Ent: 1.368
[2023-06-04 12:44:00.823683] Update: 61 / 2000, Frames: 31000, Gov_Rewards: 123373.930, House_Rewards: 1233.739, years: 193.600, PL: -0.002,VL: 7757.948, Ent: 1.367
[2023-06-04 12:44:05.733701] Update: 62 / 2000, Frames: 31500, Gov_Rewards: 57733.164, House_Rewards: 577.332, years: 90.700, PL: -0.002,VL: 7767.877, Ent: 1.366
[2023-06-04 12:44:14.499853] Update: 63 / 2000, Frames: 32000, Gov_Rewards: 151739.882, House_Rewards: 1517.399, years: 240.200, PL: 0.000,VL: 7913.693, Ent: 1.365
[2023-06-04 12:44:21.879593] Update: 64 / 2000, Frames: 32500, Gov_Rewards: 112269.879, House_Rewards: 1122.699, years: 180.400, PL: -0.002,VL: 7151.624, Ent: 1.364
[2023-06-04 12:44:28.609406] Update: 65 / 2000, Frames: 33000, Gov_Rewards: 97702.679, House_Rewards: 977.027, years: 150.600, PL: -0.002,VL: 7622.287, Ent: 1.362
[2023-06-04 12:44:36.398241] Update: 66 / 2000, Frames: 33500, Gov_Rewards: 104172.484, House_Rewards: 1041.725, years: 163.500, PL: -0.002,VL: 7252.973, Ent: 1.362
[2023-06-04 12:44:43.871991] Update: 67 / 2000, Frames: 34000, Gov_Rewards: 114137.748, House_Rewards: 1141.377, years: 180.400, PL: -0.002,VL: 7217.479, Ent: 1.361
[2023-06-04 12:44:49.529615] Update: 68 / 2000, Frames: 34500, Gov_Rewards: 75392.871, House_Rewards: 753.929, years: 120.600, PL: -0.001,VL: 7135.284, Ent: 1.359
[2023-06-04 12:44:55.066208] Update: 69 / 2000, Frames: 35000, Gov_Rewards: 66380.126, House_Rewards: 663.801, years: 103.700, PL: -0.003,VL: 7109.349, Ent: 1.359
[2023-06-04 12:45:01.039941] Update: 70 / 2000, Frames: 35500, Gov_Rewards: 75409.798, House_Rewards: 754.098, years: 120.600, PL: -0.002,VL: 7419.397, Ent: 1.357
[2023-06-04 12:45:09.616980] Update: 71 / 2000, Frames: 36000, Gov_Rewards: 150613.144, House_Rewards: 1506.131, years: 237.500, PL: -0.002,VL: 7375.807, Ent: 1.356
[2023-06-04 12:45:17.390774] Update: 72 / 2000, Frames: 36500, Gov_Rewards: 94647.207, House_Rewards: 946.472, years: 150.500, PL: -0.003,VL: 7004.104, Ent: 1.357
[2023-06-04 12:45:27.923034] Update: 73 / 2000, Frames: 37000, Gov_Rewards: 170740.411, House_Rewards: 1707.404, years: 270.100, PL: -0.003,VL: 7677.163, Ent: 1.357
[2023-06-04 12:45:34.958257] Update: 74 / 2000, Frames: 37500, Gov_Rewards: 83716.576, House_Rewards: 837.166, years: 134.000, PL: -0.002,VL: 6469.057, Ent: 1.356
[2023-06-04 12:45:40.583846] Update: 75 / 2000, Frames: 38000, Gov_Rewards: 76076.181, House_Rewards: 760.762, years: 120.600, PL: -0.002,VL: 7278.478, Ent: 1.354
[2023-06-04 12:45:48.641383] Update: 76 / 2000, Frames: 38500, Gov_Rewards: 113789.921, House_Rewards: 1137.899, years: 180.400, PL: -0.002,VL: 6996.289, Ent: 1.353
[2023-06-04 12:45:54.310154] Update: 77 / 2000, Frames: 39000, Gov_Rewards: 77487.208, House_Rewards: 774.872, years: 120.700, PL: -0.003,VL: 6501.663, Ent: 1.353
[2023-06-04 12:46:00.660750] Update: 78 / 2000, Frames: 39500, Gov_Rewards: 95871.719, House_Rewards: 958.717, years: 150.600, PL: -0.003,VL: 7191.893, Ent: 1.353
[2023-06-04 12:46:07.887720] Update: 79 / 2000, Frames: 40000, Gov_Rewards: 114584.782, House_Rewards: 1145.848, years: 180.500, PL: -0.002,VL: 6916.984, Ent: 1.352
[2023-06-04 12:46:13.801267] Update: 80 / 2000, Frames: 40500, Gov_Rewards: 57234.712, House_Rewards: 572.347, years: 91.400, PL: -0.001,VL: 7185.410, Ent: 1.351
[2023-06-04 12:46:20.201739] Update: 81 / 2000, Frames: 41000, Gov_Rewards: 95100.400, House_Rewards: 951.004, years: 150.600, PL: -0.002,VL: 6709.500, Ent: 1.351
[2023-06-04 12:46:28.770629] Update: 82 / 2000, Frames: 41500, Gov_Rewards: 134414.679, House_Rewards: 1344.147, years: 210.300, PL: -0.002,VL: 6621.407, Ent: 1.350
[2023-06-04 12:46:38.912595] Update: 83 / 2000, Frames: 42000, Gov_Rewards: 154058.953, House_Rewards: 1540.590, years: 240.200, PL: -0.001,VL: 7045.567, Ent: 1.349
[2023-06-04 12:46:47.394528] Update: 84 / 2000, Frames: 42500, Gov_Rewards: 133437.869, House_Rewards: 1334.379, years: 210.300, PL: -0.002,VL: 6157.036, Ent: 1.349
[2023-06-04 12:46:55.890613] Update: 85 / 2000, Frames: 43000, Gov_Rewards: 145767.631, House_Rewards: 1457.676, years: 232.500, PL: -0.002,VL: 7018.981, Ent: 1.348
[2023-06-04 12:47:02.260611] Update: 86 / 2000, Frames: 43500, Gov_Rewards: 71867.585, House_Rewards: 718.676, years: 112.700, PL: -0.001,VL: 6911.657, Ent: 1.346
[2023-06-04 12:47:10.580107] Update: 87 / 2000, Frames: 44000, Gov_Rewards: 115245.567, House_Rewards: 1152.456, years: 180.400, PL: -0.003,VL: 6735.184, Ent: 1.345
[2023-06-04 12:47:19.628087] Update: 88 / 2000, Frames: 44500, Gov_Rewards: 133168.666, House_Rewards: 1331.687, years: 210.300, PL: -0.001,VL: 6567.630, Ent: 1.345
[2023-06-04 12:47:26.319193] Update: 89 / 2000, Frames: 45000, Gov_Rewards: 95594.150, House_Rewards: 955.942, years: 150.200, PL: -0.001,VL: 6388.453, Ent: 1.345
[2023-06-04 12:47:31.562500] Update: 90 / 2000, Frames: 45500, Gov_Rewards: 58841.538, House_Rewards: 588.415, years: 90.700, PL: -0.001,VL: 6199.757, Ent: 1.344
[2023-06-04 12:47:37.718638] Update: 91 / 2000, Frames: 46000, Gov_Rewards: 87278.479, House_Rewards: 872.785, years: 136.700, PL: -0.002,VL: 6904.580, Ent: 1.342
[2023-06-04 12:47:43.412313] Update: 92 / 2000, Frames: 46500, Gov_Rewards: 76336.726, House_Rewards: 763.367, years: 120.600, PL: -0.002,VL: 6743.130, Ent: 1.341
[2023-06-04 12:47:49.215178] Update: 93 / 2000, Frames: 47000, Gov_Rewards: 76439.169, House_Rewards: 764.392, years: 120.600, PL: -0.002,VL: 6500.970, Ent: 1.339
[2023-06-04 12:47:55.376811] Update: 94 / 2000, Frames: 47500, Gov_Rewards: 76868.480, House_Rewards: 768.685, years: 120.600, PL: -0.002,VL: 6315.640, Ent: 1.338
[2023-06-04 12:48:03.037142] Update: 95 / 2000, Frames: 48000, Gov_Rewards: 113836.752, House_Rewards: 1138.368, years: 180.400, PL: -0.002,VL: 6404.151, Ent: 1.336
[2023-06-04 12:48:08.113115] Update: 96 / 2000, Frames: 48500, Gov_Rewards: 58627.291, House_Rewards: 586.273, years: 90.800, PL: -0.001,VL: 6432.043, Ent: 1.335
[2023-06-04 12:48:15.429260] Update: 97 / 2000, Frames: 49000, Gov_Rewards: 114423.753, House_Rewards: 1144.238, years: 180.400, PL: -0.002,VL: 6157.035, Ent: 1.333
[2023-06-04 12:48:21.233709] Update: 98 / 2000, Frames: 49500, Gov_Rewards: 78081.345, House_Rewards: 780.813, years: 123.700, PL: -0.003,VL: 6123.642, Ent: 1.332
[2023-06-04 12:48:27.300267] Update: 99 / 2000, Frames: 50000, Gov_Rewards: 61276.460, House_Rewards: 612.765, years: 97.500, PL: -0.001,VL: 6594.862, Ent: 1.332
[2023-06-04 12:48:34.300801] Update: 100 / 2000, Frames: 50500, Gov_Rewards: 81420.931, House_Rewards: 814.209, years: 129.100, PL: -0.001,VL: 5995.904, Ent: 1.331
[2023-06-04 12:48:41.961655] Update: 101 / 2000, Frames: 51000, Gov_Rewards: 95581.331, House_Rewards: 955.813, years: 150.500, PL: -0.002,VL: 6625.843, Ent: 1.329
[2023-06-04 12:48:49.990406] Update: 102 / 2000, Frames: 51500, Gov_Rewards: 131470.346, House_Rewards: 1314.703, years: 207.100, PL: -0.001,VL: 5927.175, Ent: 1.329
[2023-06-04 12:48:54.363787] Update: 103 / 2000, Frames: 52000, Gov_Rewards: 38739.583, House_Rewards: 387.396, years: 60.900, PL: -0.001,VL: 6174.212, Ent: 1.328
[2023-06-04 12:49:00.763227] Update: 104 / 2000, Frames: 52500, Gov_Rewards: 96169.642, House_Rewards: 961.696, years: 150.500, PL: -0.000,VL: 6156.521, Ent: 1.328
[2023-06-04 12:49:07.829800] Update: 105 / 2000, Frames: 53000, Gov_Rewards: 113643.428, House_Rewards: 1136.434, years: 180.400, PL: -0.002,VL: 6212.824, Ent: 1.326
[2023-06-04 12:49:14.963545] Update: 106 / 2000, Frames: 53500, Gov_Rewards: 115249.471, House_Rewards: 1152.495, years: 180.400, PL: -0.002,VL: 6163.720, Ent: 1.326
[2023-06-04 12:49:22.686432] Update: 107 / 2000, Frames: 54000, Gov_Rewards: 128012.579, House_Rewards: 1280.126, years: 201.300, PL: -0.002,VL: 5620.639, Ent: 1.324
[2023-06-04 12:49:29.782052] Update: 108 / 2000, Frames: 54500, Gov_Rewards: 106639.181, House_Rewards: 1066.392, years: 168.800, PL: -0.001,VL: 6735.033, Ent: 1.324
[2023-06-04 12:49:35.859308] Update: 109 / 2000, Frames: 55000, Gov_Rewards: 61472.909, House_Rewards: 614.729, years: 96.600, PL: -0.002,VL: 5694.794, Ent: 1.324
[2023-06-04 12:49:42.714334] Update: 110 / 2000, Frames: 55500, Gov_Rewards: 105166.172, House_Rewards: 1051.662, years: 166.700, PL: -0.001,VL: 6017.920, Ent: 1.323
[2023-06-04 12:49:49.407181] Update: 111 / 2000, Frames: 56000, Gov_Rewards: 95926.526, House_Rewards: 959.265, years: 150.600, PL: -0.002,VL: 6185.755, Ent: 1.322
[2023-06-04 12:49:53.727126] Update: 112 / 2000, Frames: 56500, Gov_Rewards: 38830.669, House_Rewards: 388.307, years: 60.800, PL: -0.002,VL: 5263.718, Ent: 1.320
[2023-06-04 12:50:00.925194] Update: 113 / 2000, Frames: 57000, Gov_Rewards: 100165.882, House_Rewards: 1001.659, years: 158.500, PL: -0.001,VL: 5921.767, Ent: 1.319
[2023-06-04 12:50:07.726285] Update: 114 / 2000, Frames: 57500, Gov_Rewards: 106748.817, House_Rewards: 1067.488, years: 169.400, PL: -0.003,VL: 5895.872, Ent: 1.318
[2023-06-04 12:50:14.206189] Update: 115 / 2000, Frames: 58000, Gov_Rewards: 95127.433, House_Rewards: 951.274, years: 150.500, PL: -0.002,VL: 5610.963, Ent: 1.317
[2023-06-04 12:50:22.431984] Update: 116 / 2000, Frames: 58500, Gov_Rewards: 132984.022, House_Rewards: 1329.840, years: 210.300, PL: 0.001,VL: 5587.454, Ent: 1.317
[2023-06-04 12:50:26.898533] Update: 117 / 2000, Frames: 59000, Gov_Rewards: 42249.359, House_Rewards: 422.494, years: 66.700, PL: -0.002,VL: 5723.906, Ent: 1.316
[2023-06-04 12:50:33.281468] Update: 118 / 2000, Frames: 59500, Gov_Rewards: 96012.176, House_Rewards: 960.122, years: 150.500, PL: -0.002,VL: 6305.182, Ent: 1.316
[2023-06-04 12:50:39.647329] Update: 119 / 2000, Frames: 60000, Gov_Rewards: 96236.160, House_Rewards: 962.362, years: 150.500, PL: -0.001,VL: 6115.359, Ent: 1.315
[2023-06-04 12:50:47.510006] Update: 120 / 2000, Frames: 60500, Gov_Rewards: 131946.650, House_Rewards: 1319.466, years: 208.100, PL: -0.002,VL: 5673.751, Ent: 1.315
[2023-06-04 12:50:55.423591] Update: 121 / 2000, Frames: 61000, Gov_Rewards: 134132.551, House_Rewards: 1341.326, years: 210.300, PL: -0.002,VL: 5852.571, Ent: 1.314
[2023-06-04 12:51:01.805801] Update: 122 / 2000, Frames: 61500, Gov_Rewards: 69087.813, House_Rewards: 690.878, years: 108.800, PL: 0.001,VL: 5695.819, Ent: 1.313
[2023-06-04 12:51:06.680650] Update: 123 / 2000, Frames: 62000, Gov_Rewards: 56304.575, House_Rewards: 563.046, years: 89.800, PL: 0.002,VL: 5927.271, Ent: 1.313
[2023-06-04 12:51:12.394898] Update: 124 / 2000, Frames: 62500, Gov_Rewards: 75988.970, House_Rewards: 759.890, years: 120.600, PL: -0.001,VL: 5394.139, Ent: 1.312
[2023-06-04 12:51:19.615861] Update: 125 / 2000, Frames: 63000, Gov_Rewards: 115356.755, House_Rewards: 1153.568, years: 180.400, PL: -0.002,VL: 5281.308, Ent: 1.310
[2023-06-04 12:51:28.022858] Update: 126 / 2000, Frames: 63500, Gov_Rewards: 126702.573, House_Rewards: 1267.026, years: 200.100, PL: -0.002,VL: 6269.217, Ent: 1.309
[2023-06-04 12:51:33.061857] Update: 127 / 2000, Frames: 64000, Gov_Rewards: 58272.101, House_Rewards: 582.721, years: 90.700, PL: -0.002,VL: 6056.925, Ent: 1.308
[2023-06-04 12:51:41.758476] Update: 128 / 2000, Frames: 64500, Gov_Rewards: 135435.855, House_Rewards: 1354.359, years: 213.500, PL: -0.001,VL: 6457.791, Ent: 1.307
[2023-06-04 12:51:46.468988] Update: 129 / 2000, Frames: 65000, Gov_Rewards: 38051.633, House_Rewards: 380.516, years: 60.800, PL: -0.000,VL: 5789.881, Ent: 1.306
[2023-06-04 12:51:53.083135] Update: 130 / 2000, Frames: 65500, Gov_Rewards: 82287.239, House_Rewards: 822.872, years: 130.500, PL: -0.002,VL: 5497.304, Ent: 1.306
[2023-06-04 12:51:58.002342] Update: 131 / 2000, Frames: 66000, Gov_Rewards: 57809.738, House_Rewards: 578.097, years: 90.800, PL: -0.002,VL: 5607.221, Ent: 1.305
[2023-06-04 12:52:05.810116] Update: 132 / 2000, Frames: 66500, Gov_Rewards: 115405.705, House_Rewards: 1154.057, years: 180.400, PL: -0.002,VL: 5055.599, Ent: 1.304
[2023-06-04 12:52:10.764157] Update: 133 / 2000, Frames: 67000, Gov_Rewards: 54844.607, House_Rewards: 548.446, years: 85.500, PL: -0.001,VL: 5920.148, Ent: 1.303
[2023-06-04 12:52:18.452146] Update: 134 / 2000, Frames: 67500, Gov_Rewards: 113763.468, House_Rewards: 1137.635, years: 180.400, PL: -0.002,VL: 5532.609, Ent: 1.302
[2023-06-04 12:52:24.151100] Update: 135 / 2000, Frames: 68000, Gov_Rewards: 56984.857, House_Rewards: 569.849, years: 90.700, PL: -0.001,VL: 5793.936, Ent: 1.302
[2023-06-04 12:52:29.527204] Update: 136 / 2000, Frames: 68500, Gov_Rewards: 56903.837, House_Rewards: 569.038, years: 90.700, PL: -0.001,VL: 5680.942, Ent: 1.301
[2023-06-04 12:52:37.822999] Update: 137 / 2000, Frames: 69000, Gov_Rewards: 115422.811, House_Rewards: 1154.228, years: 180.400, PL: -0.001,VL: 6042.785, Ent: 1.301
[2023-06-04 12:52:45.022272] Update: 138 / 2000, Frames: 69500, Gov_Rewards: 115775.671, House_Rewards: 1157.757, years: 180.400, PL: -0.002,VL: 6094.008, Ent: 1.300
[2023-06-04 12:52:51.472712] Update: 139 / 2000, Frames: 70000, Gov_Rewards: 94451.155, House_Rewards: 944.512, years: 150.500, PL: -0.001,VL: 5406.889, Ent: 1.299
[2023-06-04 12:52:58.760376] Update: 140 / 2000, Frames: 70500, Gov_Rewards: 113606.379, House_Rewards: 1136.064, years: 180.400, PL: -0.001,VL: 5410.441, Ent: 1.299
[2023-06-04 12:53:05.373846] Update: 141 / 2000, Frames: 71000, Gov_Rewards: 95286.639, House_Rewards: 952.866, years: 150.500, PL: -0.001,VL: 5736.571, Ent: 1.299
[2023-06-04 12:53:14.091803] Update: 142 / 2000, Frames: 71500, Gov_Rewards: 134484.027, House_Rewards: 1344.840, years: 210.300, PL: -0.001,VL: 5068.901, Ent: 1.298
[2023-06-04 12:53:23.809020] Update: 143 / 2000, Frames: 72000, Gov_Rewards: 151038.578, House_Rewards: 1510.386, years: 240.200, PL: -0.002,VL: 5484.364, Ent: 1.297
